term,prob,Topic
migrant_worker,0.012581120245158672,topics_10
press,0.011470099911093712,topics_10
note,0.008957881480455399,topics_10
categoriesspeech,0.004435913637280464,topics_10
arrival,0.0034872835967689753,topics_10
view,0.003135833889245987,topics_10
welfare,0.0029090160969644785,topics_10
gain,0.0019064167281612754,topics_10
origin,0.0017579393461346626,topics_10
recruitment,0.0016555462498217821,topics_10
