term,prob,Topic
optimism,0.018010864034295082,topics_0
gratitude,0.016105685383081436,topics_0
education,0.015721546486020088,topics_0
disadvantaged,0.015063746832311153,topics_0
spend,0.014455811120569706,topics_0
divert,0.012217874638736248,topics_0
assembly,0.010368558578193188,topics_0
infuse,0.009325600229203701,topics_0
woman,0.009014458395540714,topics_0
struggle,0.007859902456402779,topics_0
