term,prob,Topic
investment,0.03481987491250038,topics_7
business,0.015356690622866154,topics_7
investor,0.011680761352181435,topics_7
nepal,0.011097091250121593,topics_7
economic,0.011092583648860455,topics_7
foreign,0.010993336327373981,topics_7
sector,0.00986839085817337,topics_7
industry,0.009852269664406776,topics_7
market,0.009508812800049782,topics_7
make,0.008825072087347507,topics_7
